id,startup_id,document_type,title,content_text,source_url,published_at,created_at,updated_at
a893829d-21cf-5ccb-a28f-accc4409f68a,2836ae5d-c0e0-56ad-b150-648c672a83f9,vaga de emprego,Vaga: Machine Learning Engineer (Lloro) — Semantix,"Buscamos Engenheiro(a) de Machine Learning para o time do Lloro, nosso LLM proprietário. Requisitos: experiência com PyTorch, fine-tuning de modelos de linguagem, otimização de inferência em GPU (CUDA), e redução de latência de resposta em produção (P99 < 800ms). Diferencial: experiência com quantização de modelos e deploy em cluster próprio de GPUs.",https://www.semantix.ai/mock-carreiras-ml-engineer-lloro,2026-02-10T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
8d6235ab-173f-55b4-a214-ed9406b8abd1,2836ae5d-c0e0-56ad-b150-648c672a83f9,release,Semantix anuncia nova versão do Lloro treinada do zero,"A Semantix anunciou hoje a segunda geração do Lloro, seu modelo de linguagem proprietário, retreinado internamente com PyTorch sobre um cluster de GPUs NVIDIA usando CUDA para acelerar o treinamento. A empresa afirma ter reduzido a latência média de geração de código em 40% em relação à versão anterior, sem depender de nenhuma API externa de terceiros.",https://www.semantix.ai/mock-release-lloro-v2,2026-04-02T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
44f868a7-8b42-555a-ba2c-ab7754a833bf,2836ae5d-c0e0-56ad-b150-648c672a83f9,notícia,Semantix aposta em modelo próprio para diferenciação técnica,"Segundo reportagem, a Semantix optou por treinar seu próprio LLM (Lloro) em vez de apenas consumir APIs de terceiros, argumentando que isso dá controle sobre custo de inferência, latência e adequação ao português técnico usado por seus clientes corporativos.",https://exame.com/mock-semantix-modelo-proprio-lloro,2026-02-20T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
f0880304-fb4e-5dd1-8e7a-00f2082c941b,ef19e347-4518-50a1-9719-7f76a8f854f9,vaga de emprego,Vaga: Cientista de Dados Sênior — Neurotech,"A Neurotech contrata Cientista de Dados Sênior para evoluir nossos modelos proprietários de score de crédito e antifraude. Requisitos: Python, PyTorch ou scikit-learn, experiência otimizando pipelines de inferência para baixa latência (modelos rodam em tempo real na decisão de crédito, SLA de resposta abaixo de 300ms), e conhecimento de infraestrutura CUDA para treinar modelos de maior porte em GPU.",https://www.neurotech.com.br/mock-vaga-cientista-dados-senior,2026-01-15T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
576420c0-eeb6-596e-9b86-4eed919655e7,ef19e347-4518-50a1-9719-7f76a8f854f9,release,Neurotech detalha arquitetura de seu motor de decisão proprietário,"Em material técnico, a Neurotech descreve seu motor de decisão como um conjunto de modelos proprietários de Machine Learning, treinados internamente com dados históricos de crédito, rodando com infraestrutura de inferência otimizada em GPU (CUDA) para manter a latência de resposta compatível com decisões de crédito em tempo real no ponto de venda.",https://www.neurotech.com.br/mock-release-motor-decisao,2026-03-05T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
33ff8a68-e321-5e49-b915-1cf4ed70868f,ef19e347-4518-50a1-9719-7f76a8f854f9,notícia,B3 valoriza tecnologia proprietária da Neurotech na aquisição,"Analistas apontam que parte do valor pago pela B3 na aquisição da Neurotech está nos modelos proprietários de risco e antifraude desenvolvidos internamente pela empresa ao longo de mais de duas décadas, e não em integrações com fornecedores externos de IA.",https://alphacorp.ai/mock-neurotech-aquisicao-b3,2026-08-21T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
87aae1dd-d292-53ec-9f05-a3482313515b,3c0f2b7e-cf12-56d5-acdb-cf52dd1c8f66,vaga de emprego,Vaga: Embedded ML Engineer — Tractian,"Procuramos Embedded ML Engineer para otimizar os modelos proprietários de detecção de falha que rodam nos sensores Smart Trac. Você vai trabalhar com PyTorch para treinar os modelos e depois convertê-los para inferência de baixíssima latência em hardware embarcado, além de otimizar pipelines de treinamento em GPU com CUDA para reduzir o tempo de retreinamento.",https://tractian.com/mock-vaga-embedded-ml-engineer,2026-05-12T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
07da9fcb-6583-5614-801d-917d681a6a79,3c0f2b7e-cf12-56d5-acdb-cf52dd1c8f66,release,Tractian detalha pipeline de IA por trás do Smart Trac,"A Tractian publicou detalhes técnicos do Smart Trac: o sensor coleta vibração e temperatura, envia os dados para um modelo proprietário treinado com PyTorch, que roda inferência com latência de poucos milissegundos para gerar alertas de falha antes que ela ocorra. O treinamento dos modelos é feito em cluster próprio de GPUs com CUDA.",https://tractian.com/mock-release-pipeline-smart-trac,2026-06-01T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
716c3f14-a2a8-54ce-8a6f-838c6e168aca,3c0f2b7e-cf12-56d5-acdb-cf52dd1c8f66,notícia,Tractian é citada como referência em manutenção preditiva com IA própria,"Reportagens do setor industrial destacam a Tractian como uma das poucas empresas brasileiras que combina hardware proprietário com modelos de IA treinados internamente, em vez de depender de soluções genéricas de terceiros, para monitorar ativos industriais em tempo real.",https://tractian.com/mock-noticia-referencia-manutencao-preditiva,2026-01-01T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
12bacab8-80b1-5d05-a4a0-863cdb5cecc4,77a3430e-7551-5220-9f72-06bfbc3025f4,vaga de emprego,Vaga: Pesquisador(a) de IA — Tradução para Libras,"A Hand Talk busca Pesquisador(a) de IA para evoluir nosso modelo proprietário de tradução português-Libras. Requisitos: PyTorch, experiência com modelos sequence-to-sequence, e foco em reduzir a latência de geração da animação do avatar 3D para manter a tradução em tempo real durante lives e transmissões.",https://handtalk.me/mock-vaga-pesquisador-ia-libras,2026-03-20T00:00:00Z,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
