id,name,website,sector,stage,location,short_description,founded_year,team_size,created_at,updated_at
2836ae5d-c0e0-56ad-b150-648c672a83f9,Semantix,https://www.semantix.ai,Dados & IA,Empresa listada (Nasdaq),São Paulo,"Plataforma de dados e IA generativa que treina seus próprios modelos, incluindo o Lloro, LLM proprietário para geração de código em português.",2015,800,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
ef19e347-4518-50a1-9719-7f76a8f854f9,Neurotech,https://www.neurotech.com.br,Fintech / Crédito,Adquirida (M&A pela B3),Recife,"Motor de decisão e scoring de crédito, risco e antifraude com modelos proprietários de Machine Learning treinados internamente.",2001,200,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
3c0f2b7e-cf12-56d5-acdb-cf52dd1c8f66,Tractian,https://tractian.com,Indústria 4.0 / IoT+IA,Série C,São Paulo/Boston,Sensores de IoT com modelos de IA proprietários embarcados para manutenção preditiva/prescritiva de máquinas industriais em tempo real.,2019,700,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
77a3430e-7551-5220-9f72-06bfbc3025f4,Hand Talk,https://handtalk.me,Acessibilidade / IA,Growth,Maceió,Tradutor automático de português para Libras usando um modelo de IA proprietário (avatar 3D) treinado pela própria empresa.,2012,120,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
6b387874-d1bc-5638-9869-f9365ff9ee9f,Gupy,https://www.gupy.io,HRtech,Late stage / pré-IPO,São Paulo,Plataforma de recrutamento e seleção que incorporou funcionalidades de IA generativa (via API de LLMs de terceiros) para triagem de currículos e geração de descrições de vaga.,2015,900,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
7e65ad08-6c76-5efa-9ced-9d6de57538c3,Zenvia,https://www.zenvia.com,CPaaS / Comunicação,Empresa listada (Nasdaq),São Paulo,"Plataforma de comunicação com clientes (SMS, WhatsApp, chatbots) que passou a oferecer camadas de IA generativa construídas sobre modelos de terceiros (OpenAI/Azure OpenAI) integrados via API.",2003,1200,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
30f304ef-8f93-5206-afc1-fecb2a5b703b,Take Blip,https://www.take.net,Conversational AI / CPaaS,Growth (soonicorn),Belo Horizonte,Plataforma de automação conversacional (Blip) que permite plugar modelos de LLM de terceiros (ex.: GPT da OpenAI) via API para dar respostas de IA generativa dentro dos fluxos de chatbot.,2015,1000,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
247a2ee1-8a8b-5818-8d86-253b7a2f86da,Positivo S+,https://www.positivotecnologia.com.br,Serviços de TI gerenciados,Unidade de negócio de empresa estabelecida,Brasil,"Marca de serviços gerenciados de TI da Positivo Tecnologia; os chatbots de atendimento corporativo são construídos consumindo a API de um provedor de LLM (integração de terceiros, sem modelo próprio).",,,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
30734d92-e225-5976-9ba2-880fc106e469,ContaAzul,https://www.contaazul.com,SaaS de Gestão Financeira,Growth,Joinville,"Software de gestão financeira, contábil e fiscal para pequenas e médias empresas: emissão de notas fiscais, contas a pagar/receber, fluxo de caixa e conciliação bancária, sem recursos de inteligência artificial.",2012,,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
b228434f-7f21-58f5-874b-dc8a349da593,Superlógica,https://superlogica.com,SaaS Vertical (condomínios/assinaturas),Growth,São Paulo,"Plataforma de gestão para administradoras de condomínios e negócios por assinatura (cobrança recorrente, boletos, portal do condômino), operando com regras de negócio configuráveis, não com IA.",2007,,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
9bff9b86-896a-5e1e-a081-36afdb035aad,Sympla,https://www.sympla.com.br,SaaS de Eventos / Ticketing,Growth,São Paulo,"Plataforma self-service de venda de ingressos e gestão de eventos (check-in, relatórios de vendas, split de pagamento), um SaaS tradicional sem funcionalidades de IA.",2012,,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
f79ad836-18b2-5141-8221-a8309eeee9f4,Printi,https://www.printi.com.br,SaaS de Impressão Online,Growth,São Paulo,"Gráfica online que automatiza orçamento e produção de material impresso via um configurador de pedidos baseado em regras fixas de precificação, sem uso de inteligência artificial.",2015,,2026-09-06T20:35:45.999Z,2026-09-06T20:35:45.999Z
